price,address,beds,baths,sqft,link,lot_size
479000.0,"41 Derby St, Somerville, MA 02145",N/A,1.5,882.0,https://www.zillow.com/homedetails/41-Derby-St-Somerville-MA-02145/166006365_zpid/,0
790000.0,"384 Prospect St APT 2, Cambridge, MA 02139",2,2,1268.0,https://www.zillow.com/homedetails/384-Prospect-St-APT-2-Cambridge-MA-02139/56425179_zpid/,0
1220000.0,"21 Howe St, Somerville, MA 02145",4,2,2076.0,https://www.zillow.com/homedetails/21-Howe-St-Somerville-MA-02145/56331628_zpid/,0
574000.0,"50 Flint St #3, Somerville, MA 02145",2,2,785.0,https://www.zillow.com/homedetails/50-Flint-St-3-Somerville-MA-02145/116408569_zpid/,0
487000.0,"47 Cedar St #1, Somerville, MA 02144",2,1,696.0,https://www.zillow.com/homedetails/47-Cedar-St-1-Somerville-MA-02144/71008781_zpid/,0
630000.0,"18 Pinckney St, Somerville, MA 02145",4,2,1472.0,https://www.zillow.com/homedetails/18-Pinckney-St-Somerville-MA-02145/56334874_zpid/,0
519000.0,"9 Nashua St #3, Somerville, MA 02145",2,1,713.0,https://www.zillow.com/homedetails/9-Nashua-St-3-Somerville-MA-02145/71142557_zpid/,0
724900.0,"17 Waldo St, Somerville, MA 02143",2,1.5,1048.0,https://www.zillow.com/homedetails/17-Waldo-St-Somerville-MA-02143/166002574_zpid/,0
724900.0,"17-19 Waldo St, Somerville, MA 02143",2,2,1048.0,https://www.zillow.com/homedetails/17-19-Waldo-St-Somerville-MA-02143/2055017747_zpid/,0
609000.0,"37 Bond St #1, Somerville, MA 02145",2,2,1030.0,https://www.zillow.com/homedetails/37-Bond-St-1-Somerville-MA-02145/2055439724_zpid/,0
1560000.0,"80 Heath St, Somerville, MA 02145",2,1,0.0,https://www.zillow.com/homedetails/80-Heath-St-Somerville-MA-02145/2111490296_zpid/,0
599900.0,"15 Myrtle St, Somerville, MA 02145",2,2.5,989.0,https://www.zillow.com/homedetails/15-Myrtle-St-Somerville-MA-02145/166011774_zpid/,0
599900.0,"15 Myrtle St #5, Somerville, MA 02145",2,2,1459.0,https://www.zillow.com/homedetails/15-Myrtle-St-5-Somerville-MA-02145/2054980695_zpid/,0
759900.0,"67 Merriam St #2, Somerville, MA 02143",2,2,824.0,https://www.zillow.com/homedetails/67-Merriam-St-2-Somerville-MA-02143/2055535872_zpid/,0
1150000.0,"79 Ten Hills Rd #2, Somerville, MA 02145",3,3,2618.0,https://www.zillow.com/homedetails/79-Ten-Hills-Rd-2-Somerville-MA-02145/2056935960_zpid/,0
780000.0,"200 Willow Ave #3, Somerville, MA 02144",2,2,1071.0,https://www.zillow.com/homedetails/200-Willow-Ave-3-Somerville-MA-02144/166056584_zpid/,0
1100000.0,"32 Bartlett St, Somerville, MA 02145",5,4,2610.0,https://www.zillow.com/homedetails/32-Bartlett-St-Somerville-MA-02145/56329545_zpid/,0
860000.0,"25 Delaware St, Somerville, MA 02145",5,2,1342.0,https://www.zillow.com/homedetails/25-Delaware-St-Somerville-MA-02145/56334229_zpid/,0
700000.0,"9 Central Rd #1, Somerville, MA 02143",2,1,1076.0,https://www.zillow.com/homedetails/9-Central-Rd-1-Somerville-MA-02143/63010203_zpid/,0
1700000.0,"30 Burnside Ave #30, Somerville, MA 02144",3,4,2570.0,https://www.zillow.com/homedetails/30-Burnside-Ave-30-Somerville-MA-02144/2055847500_zpid/,0
1830000.0,"595 Broadway, Everett, MA 02145",N/A,N/A,7705.0,https://www.zillow.com/homedetails/595-Broadway-Everett-MA-02145/56327362_zpid/,0
575000.0,"45 Pearl St #2, Somerville, MA 02145",2,1,920.0,https://www.zillow.com/homedetails/45-Pearl-St-2-Somerville-MA-02145/60111441_zpid/,0
650000.0,"113 Governor Winthrop Rd UNIT 113, Somerville, MA 02145",2,2,1204.0,https://www.zillow.com/homedetails/113-Governor-Winthrop-Rd-UNIT-113-Somerville-MA-02145/60111648_zpid/,0
650000.0,"113 Governor Winthrop Rd, Somerville, MA 02145",2,1.5,1204.0,https://www.zillow.com/homedetails/113-Governor-Winthrop-Rd-Somerville-MA-02145/166004722_zpid/,0
